pc11_district_id,pc11_state_id,secc_cons_urban,secc_cons_pc_urban,secc_pov_rate_urban,secc_pov_rate_tend_urban,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
236,10,123748.27104487241,21095.91793598839,0.1495473953649032,0.19059270554397015,0.0121715746706074,0.0121715746706074,1.0,1.0
237,10,107817.1748022086,17643.899325201066,0.23012571141649524,0.28511654444678186,0.2361500888305446,0.2361500888305446,1.0,1.0
238,10,102145.6484375,17875.00390625,0.2559007406234741,0.30686724185943604,0.3989183461429957,0.3989183461429957,1.0,1.0
239,10,114232.09592196238,18929.824655095657,0.21524431446729256,0.26692824692434314,0.0,0.0,1.0,1.0
242,11,130160.24497576457,28293.392945452433,0.057052932636352346,0.09189606140645948,0.0,0.0,1.0,1.0
243,11,136820.39486311266,32824.057813937274,0.039583156940331016,0.04948840096408036,0.0,0.0,1.0,1.0
244,11,141386.6702923195,35502.65339253879,0.02885587750850839,0.037807205069358654,0.0480295868132945,0.0480295868132945,1.0,1.0
246,12,119232.46799582301,32205.416484568377,0.03878506460217851,0.05189834545265035,0.2392668842580969,0.2392668842580969,1.0,1.0
248,12,150357.61188489746,36204.44926614646,0.0481904358926218,0.061602162613183235,0.0,0.0,1.0,1.0
250,12,136867.6420230395,31395.7393810953,0.03886714390962743,0.05510907144294989,0.0,0.0,1.0,1.0
251,12,124904.91792054912,30481.838919310885,0.05526177755516391,0.0745330586579214,0.0,0.0,1.0,1.0
253,12,119049.32109058081,30189.769785395973,0.06293082543822567,0.08596572714960635,0.0,0.0,1.0,1.0
254,12,105855.04522239907,25094.927350882987,0.12195541154645144,0.14651625312789596,0.0,0.0,1.0,1.0
259,12,113500.00099878584,26620.2366461176,0.13154473917796,0.16265657447459997,0.0,0.0,1.0,1.0
261,13,93475.2412058341,17435.21327746215,0.2924076508747522,0.3617373983206033,0.0,0.0,1.0,1.0
262,13,123003.35101358924,28831.562271337934,0.04817858864814923,0.06882532657228999,0.0792462987886943,0.0792462987886943,1.0,1.0
263,13,114715.546875,20194.875,0.17571017146110535,0.23174655437469485,0.1798746240533391,0.1798746240533391,1.0,1.0
265,13,132782.78037208173,29321.825875117393,0.03976046060224419,0.054116990179326176,0.2042361360293931,0.2042361360293931,1.0,1.0
266,13,100022.6953125,20696.970703125,0.1161024272441864,0.1681857705116272,0.5779857578840285,0.5779857578840285,1.0,1.0
270,13,140165.61922126828,32101.55425942314,0.0371929666689255,0.055580752443629776,0.1299385570824524,0.1299385570824524,1.0,1.0
271,13,105764.2714433013,22124.680943788524,0.13196250958512706,0.17629997761807983,0.0,0.0,1.0,1.0
275,14,100301.22529073911,20035.803985670715,0.13931773541574455,0.1837595030829653,0.0980401119936003,0.0980401119936003,1.0,1.0
276,14,99922.92745913313,20165.100660504504,0.12623661528251118,0.16463417855265236,0.0488327066799706,0.0488327066799706,1.0,1.0
277,14,129561.92008774543,26935.764700607364,0.07303211254133612,0.09624431576445333,0.2793062839122204,0.2793062839122204,0.637992357030228,0.637992357030228
278,14,129561.92008774543,26935.764700607364,0.07303211254133612,0.09624431576445333,0.2793062839122204,0.2793062839122204,0.3620076429697719,0.637992357030228
281,15,123552.0829281747,27251.06664470455,0.09113031279797505,0.11298768186526807,0.0,0.0,1.0,1.0
282,15,123203.70799802146,26249.70952692361,0.11268646287996414,0.13848279628899018,0.0,0.0,1.0,1.0
283,15,161091.02323700368,34242.58988861817,0.019915937683252453,0.028662396870390683,0.0189036517407243,0.0189036517407243,1.0,1.0
284,15,129543.0426896804,28073.726652451045,0.05656758235721924,0.07960170722259508,0.0,0.0,1.0,1.0
285,15,134713.53308924,28372.06521567273,0.04471266257676906,0.06020353530352141,0.0,0.0,1.0,1.0
286,15,145857.21771230295,31894.692555904057,0.028788050835993784,0.04257463161217616,1.1102230246251563e-16,1.1102230246251563e-16,1.0,1.0
294,17,99613.3150423507,18395.908354099724,0.297648138672135,0.34506771987496965,0.0,0.0,1.0,1.0
296,17,98501.299624826,16754.68951615242,0.3286039793813551,0.3918470466182564,0.0,0.0,1.0,1.0
297,17,103560.8046875,19715.671875,0.22258448600769043,0.27896618843078613,0.3246346968676988,0.3246346968676988,1.0,1.0
298,17,113085.3125,24936.947265625,0.1253068596124649,0.1570071578025818,0.6091775562716757,0.6091775562716757,1.0,1.0
300,18,112905.56599432344,25467.838689343003,0.10398259557595288,0.14111776450460414,0.2136291658324384,0.2136291658324384,1.0,1.0
301,18,93035.97099658633,20235.050287774826,0.23421011809497294,0.28127584671151945,0.2223553148978159,0.2223553148978159,1.0,1.0
302,18,97248.46375659725,20228.751557808293,0.2619283157120229,0.3032624520389581,0.4997682200750387,0.4997682200750387,1.0,1.0
